CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557032,Maracanã,9910,9689,154,67,0,0,9910,0,0,9784,126,0,9847,63,0,4849,5061,0,332,9578,0,9833,77,0,2606,7227,77,5526,4307,77,595,378,650,8287,0
3304557033,Vila Isabel,28115,24176,494,3242,0,203,27460,452,203,24262,3650,203,27283,629,203,6648,21264,203,32,27880,203,25556,2356,203,15195,10361,2559,9641,15915,2559,4233,2019,2726,18934,203
3304557034,Andaraí,14877,10477,2447,1878,0,75,14266,536,75,12441,2361,75,13643,1159,75,4118,10684,75,354,14448,75,12370,2432,75,4122,8248,2507,4409,7961,2507,3162,747,1935,8958,75
3304557035,Grajaú,13857,12369,227,1228,0,33,13695,129,33,12731,1093,33,13710,114,33,3655,10169,33,3610,10214,33,12905,919,33,3319,9586,952,2142,10763,952,1387,523,499,11415,33
3304557036,Manguinhos,10626,2159,3213,5243,0,11,10414,201,11,8572,2043,11,9749,866,11,83,10532,11,301,10314,11,3285,7330,11,2513,772,7341,187,3098,7341,9253,456,185,721,11
3304557037,Bonsucesso,6725,5333,1002,390,0,0,6725,0,0,6612,113,0,6647,78,0,1391,5334,0,0,6725,0,6204,521,0,3053,3151,521,1080,5124,521,1893,1181,502,3149,0
3304557038,Ramos,13137,11633,593,896,0,15,13002,120,15,11955,1167,15,12885,237,15,1906,11216,15,6,13116,15,11597,1525,15,5593,6004,1540,909,10688,1540,2606,2118,2498,5900,15
3304557039,Olaria,20253,15101,3359,1793,0,0,20250,3,0,19434,819,0,20245,8,0,2846,17407,0,384,19869,0,18941,1312,0,11395,7546,1312,1139,17802,1312,7842,3625,2361,6425,0
3304557040,Penha,22597,14330,2711,5529,0,27,22423,147,27,20622,1948,27,22472,98,27,3727,18843,27,291,22279,27,16319,6251,27,11681,4638,6278,686,15633,6278,10497,3260,2278,6535,27
3304557041,Penha Circular,14511,11606,2286,576,0,43,14456,12,43,13322,1146,43,14453,15,43,1992,12476,43,36,14432,43,13295,1173,43,8939,4356,1216,946,12349,1216,4575,2117,1467,6309,43
